key,en,my,mnw
nav_home,Home,ပင်မ,သ္ၚိ
nav_docs,Docs,စာရွက်စာတမ်း,လိခ်ဗွဟ်
nav_about,About,အကြောင်း,ပရူ
nav_feedback,Feedback,တုံ့ပြန်ချက်,တင်တုံ့ပြန်
nav_contribute,Contribute,ပါဝင်ကူညီရန်,ဗိုင်ရီုညိ
nav_toggle_menu,Toggle Menu,မီနူး ဖွင့်/ပိတ်,ပံက်/ကၟာတ် မီနူး
nav_close_menu,Close Menu,မီနူး ပိတ်ရန်,ကၟာတ် မီနူး
footer_copy,© {year} MonOCR Project. Preserving Mon Heritage.,© {year} မွန် OCR ပရောဂျက်။ မွန်အမွေအနှစ် ထိန်းသိမ်းစောင့်ရှောက်ရေး။,© {year} ပရဝ်ဂျေသူ MonOCR သွက်ဂွံမင်မွဲအာ လိခ်မန်။
footer_tech,Open Source OCR running in your browser. Using {ocrs} and {onnx}.,ဘရောက်ဇာတွင် အသုံးပြုနိုင်သော Open Source OCR။ {ocrs} နှင့် {onnx} ကို အသုံးပြုထားသည်။,ဒှ် Open Source သွက်ဂွံစကာအာ ပ္ဍဲကဵု browser။ စကာလဝ် {ocrs} ကဵု {onnx}။
footer_github,GitHub,GitHub,GitHub
nav_privacy,Privacy,ကိုယ်ရေးလုံခြုံမှု,ပဝ်တန်အေစီ
nav_mon_heritage,Vulnerable Language,ထိန်းသိမ်းရန် လိုအပ်သော ဘာသာစကား,ဘာသာ မဒးမင်မွဲ
about_title,About MonOCR,မွန် OCR အကြောင်း,ပရူ MonOCR
about_vulnerable,Mon (mnw) is my mother tongue. It is currently classified as a vulnerable language by UNESCO.,မွန်ဘာသာစကား (mnw) သည် ကျွန်ုပ်၏ မိခင်ဘာသာစကား ဖြစ်သည်။ လက်ရှိတွင် UNESCO မှ ထိန်းသိမ်းရန် လိုအပ်သော ဘာသာစကားအဖြစ် သတ်မှတ်ထားသည်။,ဘာသာမန် (mnw) ဂှ် ဒှ်အရေဝ်မိအဲရ။ ပ္ဍဲအခိင်လၟုဟ် ညးစကာအောန်စှ်ေကၠုင်တုဲ UNESCO ဟီုလဝ် ဒှ်ဘာသာ မဒးမင်မွဲရ။
about_digital_presence,The biggest challenge is the lack of digital presence for Mon. This makes AI development difficult since most texts are in scanned books.,အကြီးမားဆုံး စိန်ခေါ်မှုမှာ မွန်ဘာသာစကား၏ ဒစ်ဂျစ်တယ် တည်ရှိမှု နည်းပါးခြင်းဖြစ်သည်။ ထို့ကြောင့် AI ဖွံ့ဖြိုးတိုးတက်မှုအတွက် ခက်ခဲစေသည်။,ပြသနာဇၞော်အိုတ်ဂှ် ပ္ဍဲကဵုလောက ဒစ်ဂျစ်တယ်ဂှ် လိခ်မန်ပိုဲ နွံအောန်ကွေဟ်ရ။ ဟိုတ်ဂှ်တုဲ သွက်ဂွံပတုဲအာ ကမၠောန် AI ဂှ် ဝါတ်ဂါတ်ဒၟံင်ရ။ လိခ်ပိုဲ ဗွဲမဂၠိုင်ဂှ် နွံဒၟံင် ပ္ဍဲကဵု လိခ်ကၞပ် စကင်န်တအ်ရ။
about_effort,"To increase digital presence, I developed this OCR engine. It uses MobileNetV3 + BiLSTM for efficient inference.",ဒစ်ဂျစ်တယ် တည်ရှိမှု တိုးတက်စေရန် ဤ OCR အင်ဂျင်ကို တည်ဆောက်ခဲ့သည်။ MobileNetV3 + BiLSTM ကို အသုံးပြုထားသည်။,သွက်ဂွံဇမြော်ပတိုန် လိခ်မန် ပ္ဍဲလောက ဒစ်ဂျစ်တယ်ဂှ် အဲဇန်လဝ် အင်ဂျင် OCR သွက်ဂွံဗှ်လိခ်မန်ရ။ မော်ဒယ်လၟုဟ်ဝွံ စကာလဝ် MobileNetV3 + BiLSTM သွက်ဂွံဗှ်လိခ်မန် ညံင်ဂွံဂွံတင်ဂုဏ်ဖိုလ်ရ။
about_inference,The engine uses ONNX Runtime Web to run locally in your browser. Your data never leaves your device.,ဤအင်ဂျင်သည် ONNX Runtime Web ကို အသုံးပြု၍ သင့်ဘရောက်ဇာတွင် တိုက်ရိုက် အလုပ်လုပ်ပါသည်။ သင်၏ အချက်အလက်များ ပြင်ပသို့ မရောက်ရှိပါ။,အင်ဂျင်ဝွံ စကာလဝ် ONNX Runtime Web တုဲ ကၠောန်ကမၠောန် ပ္ဍဲဘရောက်ဇာ မၞးရ။ ဟွံဒးပလံင် တင်ဂရင် ပ္ဍဲဆာဗာတုဲ နွံကဵုဂီုက္ဍဟ်ရ။
about_hope,"MonOCR aims to bridge the gap between physical texts and digital data, enabling new educational possibilities.",မွန် OCR သည် စာအုပ်များမှ အချက်အလက်များကို ဒစ်ဂျစ်တယ်အဖြစ်သို့ ပြောင်းလဲပေးရန် ရည်ရွယ်သည်။,ဣဝွံ ဒှ်ကမၠောန် ဍောတ်တ်မွဲကီုလေဝ် အဲမိက်ဂွံကဵု MonOCR ဂှ် ဗိုင်ရီု သွက်ဂွံပြံင်လှာဲ လိခ်ပိုဲ ညံင်ဂွံဒှ် ဒစ်ဂျစ်တယ်တုဲ ဖန်ဗဒှ်အာ သွက်ပညာတၟိတၟိတအ်ရ။
docs_title,Documentation,စာရွက်စာတမ်းများ,လိခ်ဗွဟ်
docs_getting_started,Getting Started,စတင်အသုံးပြုခြင်း,စပ္တံ
